https://product.suning.com/0070236701/11605126221.html
imgservice.suning.cn/uimg1/b2c/image/KwETWSu4LNQZPj1yio5EIw.jpg_800w_800h_4e
OKSJ H9【旗舰版】骨传导无线蓝牙耳机不入耳进口芯片5.0 无损音质 炫酷夜光 黑色
399.00
0
0
0
0
0
0
品牌	OKSJ
型号	H9旗舰版
颜色	黑色
佩戴方式	挂耳式
商品重量	0.75克
是否有线控	无线控
是否内置麦克风	是
音量调节	支持
用途	音乐游戏，跑步健身，商务通话，户外运动，开车专用
耳机灵敏度	102dB
耳机频响范围	20-20KHZ
产地	中国广东深圳市
***
