https://product.suning.com/0070073461/11565122784.html
imgservice.suning.cn/uimg1/b2c/image/238_PydbKAKU77oQvA-0fQ.jpg_800w_800h_4e
小米(mi)红米 Redmi Note8 Pro 超广角四摄 8GB+256GB 贝母白 移动联通电信4G手机
1616.00
0
0
0
0
0
0
品牌	小米(mi)
型号	RedmiNote8Pro
上市时间	2019年8月
入网许可证号	02-B324-184206
手机操作系统	Android
系统版本	MIUI
摄像头类型	其他
前摄像头	2000万像素
后摄像头	6400+800+200+200万像素
拍照特点	自动对焦,防抖,美颜,连拍,微距,全景,HDR
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.9光圈
闪光灯类型	LED
变焦模式	数码变焦
传感器类型	×&nbsp;&nbsp;&nbsp;&nbsp;与传统相机相比，传统相机使用“胶卷”作为其记录信息的载体，而数码相机的“胶卷”就是其成像感光元件，而且是与相机一体的，是数码相机的心脏。感光器是数码相机的核心，也是最关键的技术。目前数码相机的核心成像部件有两种：一种是广泛使用的CCD（电荷藕合）元件；另一种是CMOS（互补金属氧化物导体）器件。CMOS
屏幕尺寸	6.53英寸
屏幕分辨率	2340*1080
屏幕材质	其他
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
屏占比	91.4%
颜色	白色系
机身长度	161.35毫米
机身宽度	76.4毫米
机身厚度	8.79毫米
重量	199.8克
机身材质	玻璃
CPU品牌	联发科（MTK）
CPU型号	MTKHelioG90T
CPU频率	2xA762.05GHz大核6xA552.0GHz小核
CPU核数	八核
GPU	ARMMaliG76MC4
5G网络制式	不支持
双卡机类型（单卡/双卡）	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,双卡单4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,电信3G,联通3G
副SIM卡2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
是否支持同时使用联通卡	支持
机身内存	256GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4500mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	36小时
电池类型	聚合物锂电池
理论通话时间	240分钟
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	不支持
OTG	×&nbsp;&nbsp;&nbsp;&nbsp;OTG是On-The-Go的缩写，是近年发展起来的技术，主要应用于各种不同的设备或移动设备间的联接，进行数据交换。不支持
运营商标识	无
选购热点	双卡双待,快速充电,大容量电池,游戏手机,国产手机
开票单位	台
CCC认证编号	2019011606217776
生产者（制造商）名称	小米通讯技术有限公司
***
