https://product.suning.com/0070697761/10123168137.html
imgservice.suning.cn/uimg1/b2c/image/giVNHxGSlbo5rsC0la-aaw.png_800w_800h_4e
原封未激活*送自拍杆+移动电源*小米（MI）小米Max2 黑色（4G+64G） 全网通版 双卡双待 智能手机
899.00
4
7
0
0
0
0
品牌	小米(mi)
型号	小米Max2
上市时间	2017年5月
入网许可证号	02-B324-171510
手机操作系统	MIUI
系统版本	MIUI
摄像头类型	前单+后单
前摄像头	500万像素
后摄像头	1200万像素
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	双颗双色温LED闪光灯
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.44英寸
屏幕分辨率	1920×1080
屏幕材质	其他
屏幕像素密度（ppi）	以官网信息为准
颜色	金色
机身长度	174.1毫米
机身宽度	88.7毫米
机身厚度	7.6毫米
重量	211克
机身材质	金属
CPU品牌	骁龙（Snapdragon)
CPU型号	高通骁龙625处理器
CPU频率	以官网信息为准
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）,MicroSIM（小卡）
4G网络制式	移动4G,联通4G,电信4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	移动2G/联通2G
待机模式	双卡双待
机身内存	64GB
运行内存	4GB
存储卡类型	支持
最大存储扩展	128GB
电池容量	5300mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
电池类型	可充电锂电池
NFC（近场通讯）	以官方信息为准
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙4.2
指纹识别	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	双卡双待,指纹识别,金属机身
开票单位	台
CCC认证编号	2016011606908788
生产者（制造商）名称	富智康精密电子(廊坊)有限公司
***
价格实惠，发票和机子一起寄过来的！公司采购的

货己收到，宝贝很好！

好用

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

