https://item.jd.com/100004670583.html
img13.360buyimg.com/n1/s450x450_jfs/t1/53990/20/9725/120916/5d70abacE184fb274/e042f69d5c4682c3.jpg
萌宝拍 C2儿童相机2400万高清前后双摄WIFI传输宝宝卡通数码相机女孩男孩生日圣诞节玩具礼物 C2蓝恐龙16G
319.00
9
8
0
0
1
连拍速度	1s
场景模式	肖像
存储介质	TF（MicroSD）卡
机身内存	16G
液晶屏类型	其他
液晶屏像素	其他
液晶屏尺寸	其他
电池类型	可充电锂离子电池
外接电源	不支持
电池续航时间	约1500张以上
电池型号	750mah
品牌	其他
用途	拍摄
语言	中文；英文；日文
机身重量（g）	70
型号	C2
商品产地	中国
高清摄像	全高清
商品毛重（kg）	0.25
机身材质	塑料
尺寸(mm)	85*58*43
类型	数码
WiFi连接	支持
***
