https://product.suning.com/0070977681/11415823263.html
imgservice.suning.cn/uimg1/b2c/image/r111PPuGvMEFIUMVoT59eA.jpg_800w_800h_4e
宏碁(Acer)蜂鸟Swift3 S40 微边框轻薄本14.0英寸商务办公娱乐学生笔记本电脑(四核i5-8265U 8GB 512GBSSD MX250-2G IPS )银/蓝
4499.00
0
6
0
0
0
0
品牌	宏碁(acer)
系列	蜂鸟
型号	S40
产品定位	轻薄便携,性价比机,学生用机,游戏高端,影音娱乐,家庭办公
操作系统	Windows10
CPU平台	Intel
CPU主频	1.6GHz
核心数	四核心
内存容量	8GB
内存类型	DDR4
插槽数量	1个
最大支持内存	8GB
硬盘容量	256GB
硬盘类型	固态硬盘
硬盘接口类型	SATA+M.2接口
显卡类型	独立显卡
显存容量	2GB
显卡型号	GeForceMX250
光驱类型	无光驱
光驱设计	无
屏幕尺寸	14.0英寸
屏幕类型	IPS
屏幕比例	16:9
屏幕分辨率	1920×1080
触摸功能	不支持
摄像头	支持
声卡类型	集成式
内置麦克风	支持
扬声器连接	有
触控	非触控
人脸识别	无
蓝牙功能	支持
局域网	10/100/1000Mbps
无线局域网	802.11ac
USB3.0端口	1个
USB2.0端口	2个
视频端口	HDMI,type-c接口
音频端口	耳机/麦克风二合一接口
麦克风接口	1个
指取设备	触摸板
指纹识别	不支持
读卡器类型	多合一读卡器
电池	锂离子电池
电源适配器	电源适配器
续航时间	5-7小时
颜色	银色
厚度	18.9
机身材质	铝合金
机身尺寸	338x234x18毫米
净重	2千克
随机附件	电源适配器
厂商保修政策	全国联保
选购热点	彪悍性能,高清屏幕,金属机身,彩色本,高清摄像,超长待机,完美音质,超薄机身
CCC认证编号	2015010902807273
生产者（制造商）名称	宏碁股份有限公司
认证委托人	宏碁
生产者	宏碁
***
整体使用感很流畅，开机很快，内存也够大。卖家送了很多配件，服务非常好了！

买电脑纠结了很久 问了比较懂的朋友 她强烈推荐买蜂鸟fun 说性价比各方面比较好 果断入手了 用了段时间 还不错

宝贝非常好，清晰度高.外观超薄。特别漂亮。一点儿下卡!昨天收到货，今天追评!

实名为这台电脑心动，性价比超高，很超出我的预期，外观也十分好看，性能也没话说

外官漂亮，女儿很喜欢，不懂的问客服也很耐心回答，很好，点赞，

性价比超高的一款电脑，老品牌做工考究，同样配置价格最低，超级满意win10系统流畅无敌，五分好评

