https://item.jd.com/4825706.html
img11.360buyimg.com/n1/s450x450_jfs/t1/45904/4/13085/343465/5d9dada5Eb67e3d2e/61d48072c65b2628.jpg
富士（FUJIFILM）拍立得mini70相机（皓月白）实用套餐（20张胶片）
920.00
0
0
0
0
0
镜头结构	伸缩式镜头，2组2片，f=60m，1：12.7
品牌	富士
适用相纸尺寸	86mmx54mm（62mmx46mm成像尺寸）
相机类型	一次成像相机
型号	MINI70
电池类型	2节CR2锂电池
机身颜色	皓月白
机身重量（g）	1670
尺寸	1
***
