https://product.suning.com/0070215654/10595144971.html
imgservice.suning.cn/uimg1/b2c/image/YLCzlFOG7DG2yXmZ0bxPxA.jpg_800w_800h_4e
Apple/苹果 iPhone 8 全新未激活美版有锁电信全网通 智能手机金色128GB 4.7英寸【裸机】
2777.00
0
0
0
0
0
0
品牌	Apple
型号	iPhone8
上市时间	2017年
手机操作系统	IOS
系统版本	以官网信息为准
摄像头类型	前单+后单
前摄像头	700万像素
后摄像头	1200万像素
拍照特点	防抖,连拍,场景模式,HDR
前摄光圈大小	f/1.8光圈
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	其他
屏幕尺寸	4.7英寸
屏幕分辨率	1334×750
屏幕材质	其他
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	65.37%
颜色	金色
机身长度	138.4毫米
机身宽度	67.3毫米
机身厚度	7.3毫米
重量	148克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A11+M11协处理器
CPU频率	以官网信息为准
CPU核数	六核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,联通4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	单卡单模
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	2GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	1821mAh
无线充电	支持
快充功能	支持
电池更换	不支持
理论待机时间	72小时
电池类型	其他
理论通话时间	1000分钟
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	以官网信息为准
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
运营商标识	无
选购热点	拍照手机,指纹识别,女性手机,超薄机身,金属机身
***
