https://product.suning.com/0070088260/10583459975.html
imgservice.suning.cn/uimg1/b2c/image/DgITtiL7LsH-wTbiiGmY6g==.jpg_800w_800h_4e
（SONY）索尼 WH-CH500 头戴式无线蓝牙耳机 重低音手机通话耳麦 头戴式耳机 CH500 灰色
339.00
56
84
1
0
0
1
品牌	索尼(SONY)
型号	WH-CH500
颜色	灰色
佩戴方式	耳戴
商品重量	100克
是否有线控	无线控
是否内置麦克风	是
音量调节	支持
用途	听歌
耳机灵敏度	-dB
最大承载功率	-瓦特
耳机阻抗	-欧姆
耳机频响范围	-HZ
产地	中国大陆
***
