https://product.suning.com/0070179238/10403605111.html
imgservice.suning.cn/uimg1/b2c/image/Fo8Hw3FZjFUvHA4BObgUkw.jpg_800w_800h_4e
Bose SoundSport 无线耳机 黄色 耳塞式蓝牙耳麦 运动耳机 智能耳机
1088.00
0
0
0
0
0
0
品牌	博士(BOSE)
型号	SoundSport
颜色	黄色
佩戴方式	耳塞式
是否有线控	有线控
是否内置麦克风	是
耳机灵敏度	1dB
最大承载功率	1瓦特
耳机阻抗	1欧姆
耳机频响范围	1HZ
产地	中国大陆
产品特色	运动耳机，蓝牙耳机
***
