https://product.suning.com/0070142956/10657650867.html
imgservice.suning.cn/uimg1/b2c/image/-eubx1aNSfR5Yp6NorJYaA.jpg_800w_800h_4e
华为(HUAWEI)华为 Mate 20 Pro 8GB+128GB 全网通 (UD) 屏内指纹版（樱粉金）移动联通电信全网通4G手机 华为手机
7999.00
0
0
0
0
0
0
品牌	华为(HUAWEI)
型号	Mate20Pro
上市时间	2018年10月
入网许可证号	以实物为准
手机操作系统	Android
系统版本	华为EMUI9.0.0(兼容Android9)
摄像头类型	其他
后摄像头	4000+2000+800万像素
拍照特点	全景,HDR,美颜,微距,滤镜
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.39英寸
屏幕分辨率	其他
屏幕材质	OLED
屏幕像素密度（ppi）	538
屏占比	86.9%
颜色	粉色系
机身长度	157.8毫米
机身宽度	72.3毫米
机身厚度	8.6毫米
重量	189克
机身材质	其它
CPU品牌	海思（Hisilicon）
CPU型号	HUAWEIKirin980（麒麟980）
CPU核数	八核
GPU	MaliG76720MHz
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	电信4G,全网通,联通4G,移动4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	电信2G,联通2G,移动2G
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	4200mAh
无线充电	支持
快充功能	支持
电池更换	不支持
电池类型	其他
数据传输接口	蓝牙,NFC,WIFI
NFC（近场通讯）	支持读卡器模式、点对点模式、卡模拟模式（华为钱包支付，SIM卡支付*，HCE支付）*SIM卡支付所使用的SIM卡只能放在SIM1卡槽。
耳机接口	Type-C
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
OTG	支持
运营商标识	无
选购热点	双卡双待,快速充电,支持NFC,大屏手机,指纹识别,大容量电池,Type-C,拍照手机,全面屏手机,国产手机
***
