https://product.suning.com/0070103363/11069907129.html
imgservice.suning.cn/uimg1/b2c/image/gFrKzFMBAdgGpfDh75EzdQ.jpg_800w_800h_4e
vivo S1 Pro 珊瑚红 8+128G 全面屏 全网通4G手机
1998.00
4
4
0
0
0
0
品牌	vivo
型号	S1Pro
上市时间	2019.05
入网许可证号	02-B220-191008
手机操作系统	Android
系统版本	Android9.0
摄像头类型	其他
前摄像头	3200万像素
后摄像头	1200万像素（可输出4800万超清像素）+800万像素+500万像素
拍照特点	美颜,连拍,全景,滤镜,自动对焦
前摄光圈大小	f/2.0光圈
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	CMOS
屏幕尺寸	6.39英寸
屏幕分辨率	其他
屏幕材质	AMOLED
屏占比	91.64%
颜色	红色系
机身长度	157.25毫米
机身宽度	74.71毫米
机身厚度	8.21毫米
重量	185克
机身材质	其它
CPU品牌	骁龙（Snapdragon)
CPU型号	QualcommSnapdragonSM6150
CPU频率	2.0GHz
CPU核数	八核
GPU	AdrenoGPU612
双卡机类型	双卡双待单通
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G,联通2G
网络频率	2GGSM;2GCDMA;3GCDMA2000;3GTD-SCDMA;3GWCDMA;4GTDD-LTE;4GFDD-LTE;移动联通4G+
待机模式	双卡双待单通
机身内存	128GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	256GB
电池容量	3700mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
电池类型	聚合物锂电池
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	3.5mm
充电接口类型	MicroUSB
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
OTG	支持
运营商标识	无
选购热点	超薄机身,女性手机,以旧换新,大屏手机,快速充电,指纹识别,大容量电池,游戏手机,全面屏手机,国产手机
开票单位	台
CCC认证编号	2019011606165963
生产者（制造商）名称	维沃移动通信有限公司
***
买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

买家没有填写评价内容！

