https://item.jd.com/56270478998.html
img13.360buyimg.com/n1/jfs/t1/51646/36/7716/45318/5d54bebaE89bc3c22/57b64999a6917e7b.jpg
pisofttech 圆周率 Pilot Era 便携专业级8kvr全景相机实时拼接图片和视频 单独8k相机
22800.00
0
0
0
0
0
连拍速度	1
场景模式	风景；运动
品牌	其他
语言	中文
用途	全景视频拍摄直播
机身重量（g）	690
型号	Pilot Era 
商品产地	中国
高清摄像	其他
商品毛重（kg）	0.69
机身材质	其他
尺寸(mm)	2000
类型	8k全景相机
液晶屏类型	触摸屏
液晶屏像素	其他
液晶屏尺寸	2.5英寸
存储介质	TF（MicroSD）卡
机身内存	64
电池类型	可充电锂离子电池
外接电源	支持
电池续航时间	约1500张以上
电池型号	锂电池
WiFi连接	支持
***
