https://product.suning.com/0070579161/11185462285.html
imgservice.suning.cn/uimg1/b2c/image/OHMuwd7sqTpQTLTFe4W5mQ.jpg_800w_800h_4e
Apple iPhone XR 橙色 全网通 苹果XR手机 电信移动联通4G手机 64G 海外版
4588.00
0
0
0
0
0
0
品牌	Apple
型号	iPhoneXR
上市时间	2018年
手机操作系统	IOS
系统版本	iOS12
摄像头类型	前单+后单
前摄像头	700万像素
后摄像头	1200万像素
拍照特点	全景,连拍,防抖,自动对焦
前摄光圈大小	f/1.8光圈
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.1英寸
屏幕分辨率	1792x828
屏幕材质	其他
屏幕像素密度（ppi）	326
触摸工艺	其他
屏占比	80.02%
颜色	橙色
机身长度	150.9毫米
机身宽度	75.7毫米
机身厚度	8.3毫米
重量	194克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A12
CPU频率	其他
CPU核数	六核
GPU	其他
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G
3G网络制式	联通3G
2G网络制式	电信2G,移动2G/联通2G
网络频率	移动联通电信4G
待机模式	单卡单模
机身内存	64GB
运行内存	3GB
电池容量	2942mAh
无线充电	支持
快充功能	支持
电池更换	不支持
理论待机时间	12小时
电池类型	其他
理论通话时间	720分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	其他
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	游戏手机,拍照手机,面部识别,玻璃机身
***
