https://item.jd.com/55210633560.html
img10.360buyimg.com/n1/s450x450_jfs/t1/77538/39/7856/117221/5d5d66ddE974c2c37/ddc056bc8e1a1094.jpg
华为（HUAWEI）荣耀9X手机 4000mAh超强续航 4800万超清夜拍 升降全面屏 魅焰红 全网通4GB+64GB
1199.00
14
12
1
0
1
产品名称	9X
上市年份	2019年
上市月份	7月
机身颜色	红色
机身长度（mm）	163.1mm
机身重量（g）	206g
机身材质工艺	其他
机身宽度（mm）	77.2mm
机身材质分类	其他
机身厚度（mm）	8.8mm
输入方式	其他
CPU品牌	海思（Hisilicon）
运行内存	6GB
机身存储	128GB
存储卡	其它存储卡
最大存储扩展容量	其他
屏幕材质类型	LTPS
屏幕色彩	其他
副屏幕尺寸(英寸）	其他
触摸屏实现方式	其他
触摸屏类型	其他
后摄5摄像头功能	其他
后摄3摄像素	不支持后摄3
后摄2摄像头的功能	景深
后摄2摄像素	200万像素
后摄主摄光圈	f/1.8
后摄4摄像头的功能	不支持后摄4
后摄4摄像素	不支持后摄4
闪光灯	其他闪光灯
后摄主摄光学防抖	不支持光学防抖
后摄3摄像头的功能	视频
后摄3摄光学防抖	支持光学防抖
后摄的主摄像素	4800万像素
后摄3摄光圈	f/1.8
后摄6摄像头功能	其他
后摄2摄光圈	无光圈
后摄2摄光学防抖	支持光学防抖
后摄4摄光圈	不支持后摄4
后摄4摄光学防抖	支持光学防抖
前摄主摄光圈	f/2.2
前摄的主摄像素	1600万像素
闪光灯	其他
充电器	5V/2A
电池容量（mAh）	4000mAh（典型值）
操作系统版本	Android 9
最大支持SIM卡数量	2个
网络频率（2G/3G）	以官网信息为准
副卡网络频率	以官网信息为准
5G网络	不支持5G
双卡机类型	双卡双待单通
3G/2G网络	其它3G/2G；3G TD-SCDMA(移动)；3G WCDMA(联通)；3G CDMA2000(电信)；2G GSM(移动/联通)
数据传输接口	蓝牙
耳机接口类型	3.5mm
充电接口类型	Type-C
NFC/NFC模式	不支持NFC
独立Hi-Fi芯片	其他
mic数量	其他
喇叭数量	其他
常用功能	计算器
***
使用心得：良心评论，不知道是不是假的京东，手机这玩意儿还能五天到货的，物流慢的要命，真心心累，手机刚到就开机看了，触屏还是可以的，总体来说不错，就是点进应用还会闪退，不知道手机包装盒也是很旧，虽然说这款手机已经出来有段时间了，但也不应该包装那么陈旧吧，而且刚拿到手就会闪退，心累，退货嘛 又嫌麻烦，就当买个教训了！！！！

