https://item.jd.com/53563958797.html
img12.360buyimg.com/n1/jfs/t1/70636/37/15101/74052/5dca1130Edb9dc847/60fb62ed87028a03.jpg
谷施 骨传导蓝牙耳机 运动跑步耳机 无线不入耳头戴挂耳式防汗防水 适用于苹果华为小米oppo安卓 绅士灰
319.00
12
12
0
0
0
颜色	其它颜色
型号	BH128
类别	立体声
特性	骨传导立体声
佩戴方式	骨传导
重量	约38g
同时连接两部手机	否
尺寸	109*139*60mm
传输范围	传输距离
语音控制	否
版本	本机蓝牙版本
支持音乐	是
通话时间	约6小时
支持模式	支持蓝牙的版本
类型	耳机
待机时间	约7天
***
