https://item.jd.com/59115626517.html
img12.360buyimg.com/n1/jfs/t1/88371/35/3440/122102/5ddf7b0cE6fe2ce55/13d5b99f3873506b.jpg
Leica/徕卡 徕卡S Typ007中画幅专业数码相机 10804 单机 官方标配
142590.00
0
0
0
0
0
连拍速度	3张每秒
场景模式	风景；微距；日落；夜景
品牌	徕卡 Leica
用途	拍照
机身重量（g）	1260
型号	S Typ007
商品毛重（kg）	2.8
尺寸(mm)	160×80×120mm
类型	相机
商品产地	其他
液晶屏类型	其他
取景器类型	光学取景器
液晶屏像素	92万像素
液晶屏尺寸	3.0英寸
存储介质	SD卡；SDHC卡
机身内存	无
电池类型	可充电锂离子电池
外接电源	不支持
电池续航时间	约500张以下
电池型号	BP-PR01
WiFi连接	支持
***
