https://product.suning.com/0070543748/11525135038.html
imgservice.suning.cn/uimg1/b2c/image/xA_PUxcNw0P3WPsNeRiGcw.jpg_800w_800h_4e
iTSOHOO 14英寸笔记本电脑 游戏本轻薄本商务办公学习本 超薄便携学生本超极本（英特尔全新九代处理器8G内存 1000GB固态硬盘2G独显）背光键盘 指纹解锁 星空银
3299.00
0
0
0
0
0
0
品牌	ITSOHOO
系列	笔记本电脑
型号	CK3
产品定位	家庭办公,影音娱乐,游戏高端,学生用机,性价比机,轻薄便携,创意设计
上市时间	2019年
操作系统	Windows10
核心数	双核心
CPU型号	Intel赛扬3867U
CPU平台	Intel
内存类型	×&nbsp;&nbsp;&nbsp;&nbsp;内存作用是用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据，内存的运行也决定了计算机的稳定运行。DDR4
最大支持内存	8GB
插槽数量	1个
内存容量	×&nbsp;&nbsp;&nbsp;&nbsp;内存容量通常是指随机存储器（RAM)的容量，是内存条的关键性参数，内存容量越大越有利于系统的运行。8GB
硬盘容量	1TB
硬盘类型	固态硬盘
显卡类型	×&nbsp;&nbsp;&nbsp;&nbsp;显存容量决定着显存临时存储数据的多少。独立显卡
显存容量	2GB
显卡型号	其他
光驱类型	无光驱
屏幕尺寸	14英寸
屏幕比例	16:10
屏幕分辨率	1920×1080
屏幕类型	IPS
触摸功能	×&nbsp;&nbsp;&nbsp;&nbsp;触摸功能指的是通过手指在屏幕上直接操作的功能。不支持
色域	72%NTSC
蓝牙功能	支持
局域网	10/100Mbps
无线局域网	802.11b/g/n
USB2.0端口	无
USB3.0端口	3个
音频端口	audio,耳机/麦克风二合一接口
视频端口	HDMI,type-c接口
读卡器类型	二合一读卡器
内置摄像头	130万像素摄像头
内置扬声器	支持
内置麦克风	支持
声卡类型	集成式
指取设备	触摸板
指纹识别	支持
电池类型	聚合物电池
电源适配器	标准配置
续航时间	5-7小时
机身尺寸	323*224*17毫米
颜色	银色
净重	1.7千克
厚度	17毫米
厂商保修政策	主机质保一年电池和充电器质保半年
CCC认证编号	2018010902112818
生产者（制造商）名称	深圳市马仕德科技有限公司
***
