https://product.suning.com/0070664957/10582346305.html
imgservice.suning.cn/uimg1/b2c/image/o1ZG5GBG5BIbzsLCAwJ42Q.jpg_800w_800h_4e
2018款 Apple MacBook Pro 13.3英寸 i5处理器 8GB 256GB SSD 深空灰 带触控栏 笔记本电脑 轻薄本 设计师电脑 MR9Q2 苹果笔记本
10894.00
0
1
0
0
0
0
品牌	Apple
系列	MacBookPro
型号	MacBookPro
产品定位	创意设计,轻薄便携,性价比机,学生用机,影音娱乐,家庭办公
上市时间	2019年
操作系统	macOS
核心数	八核心
CPU型号	I9
CPU平台	Intel
内存类型	DDR4
最大支持内存	32GB
插槽数量	无
内存容量	32GB
硬盘容量	1TB
硬盘类型	固态硬盘
显卡类型	独立显卡
显存容量	4GB
显卡型号	其他
光驱类型	无光驱
屏幕尺寸	15.4英寸
屏幕比例	16:10
屏幕分辨率	2880×1800
屏幕类型	LED
触摸功能	不支持
色域	72%NTSC
蓝牙功能	蓝牙4.2
局域网	无
无线局域网	802.11b/g/n
USB2.0端口	无
USB3.0端口	无
音频端口	耳机/麦克风二合一接口
视频端口	type-c接口
读卡器类型	无
RJ45网络接口	0个
内置摄像头	支持
内置扬声器	支持
内置麦克风	支持
声卡类型	集成式
指取设备	触摸板
指纹识别	不支持
电池类型	聚合物电池
电源适配器	61WUSB-C
续航时间	5-7小时
机身尺寸	长349.3mm宽240.7mm毫米
颜色	灰色
净重	1.83千克
厚度	15.5毫米
随机附件	61WUSB-C电源适配器/USB-C充电线(2米)
厂商保修政策	官方联保一年
***
确实是正品，序列号，电源都没问题。为了安心我还去了苹果授权店，也没问题。老板服务也很nice。超级满意

