https://product.suning.com/0070177562/10761235445.html
imgservice.suning.cn/uimg1/b2c/image/kf4gzJL252PReGYEWhqMXQ.jpg_800w_800h_4e
思属 BM蓝牙真无线耳机开车载运动跑步商务专用超长待机单入耳塞挂式带麦高清降噪小米oppo华为vivo荣耀苹果索尼通用灰
75.00
23
127
1
1
0
0
品牌	思属
型号	BM
颜色	黑色
佩戴方式	入耳式
商品重量	15克
是否有线控	无线控
是否内置麦克风	是
音量调节	支持
用途	通话听歌看视频
耳机灵敏度	88dB
最大承载功率	5瓦特
耳机阻抗	26欧姆
耳机频响范围	20HZ
产地	中国广东深圳市
产品特色	简约商务
***
