https://product.suning.com/0070119143/10515260778.html
imgservice.suning.cn/uimg1/b2c/image/ygLOpq-wCNvRBLNN3Jw8EQ.png_800w_800h_4e
【原封 送耳机+指环扣支架】华为(HUAWEI)华为畅享7Plus 4GB+64GB 蓝色 公开全网通4G 移动联通电信4G手机 双卡双待 华为手机
899.00
2
3
0
0
0
0
品牌	华为(HUAWEI)
型号	畅享7Plus
上市时间	2017年4月
入网许可证号	02-5043-170919
手机操作系统	Android
系统版本	Android7.0
摄像头类型	前单+后单
前摄像头	800万像素
后摄像头	1200万像素
拍照特点	美颜,HDR,全景
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/2.2光圈
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	5.0英寸
屏幕分辨率	1280×720
屏幕材质	IPS
屏幕像素密度（ppi）	267
触摸工艺	其他
屏占比	71.06%
颜色	蓝色
机身长度	153.6毫米
机身宽度	76.4毫米
机身厚度	8.35毫米
重量	165克
机身材质	金属
CPU品牌	骁龙（Snapdragon)
CPU型号	MSM8940（高通骁龙435）
CPU频率	1.4GHz（大四核），1.1GHz（小四核）
CPU核数	八核
GPU	Mali-G72MP12
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡（存储卡共槽位）
4G网络制式	全网通,电信4G,联通4G,移动4G
3G网络制式	联通3G,电信3G,移动3G
2G网络制式	移动2G,电信2G,联通2G
网络频率	以官网信息为准
待机模式	双卡双待单通
副SIM卡尺寸	NanoSIM卡
副SIM卡4G网络制式	电信4G,联通4G,移动4G
副SIM卡3G网络制式	联通3G,电信3G,移动3G
副SIM卡2G网络制式	移动2G/联通2G,电信2G
是否支持同时使用联通卡	支持
机身内存	64GB
运行内存	4GB
存储卡类型	支持
最大存储扩展	128GB
电池容量	3020mAh
无线充电	不支持
快充功能	不支持
电池更换	不支持
理论待机时间	200小时
电池类型	锂电池
理论通话时间	660分钟
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	MicroUSB
蓝牙版本	蓝牙4.1
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	不支持
红外遥控	不支持
电子罗盘	支持
3D加速	不支持
OTG	不支持
运营商标识	无
选购热点	双卡双待,游戏手机,国产手机,指纹识别
开票单位	台
CCC认证编号	2018011606047993
生产者（制造商）名称	伟创力制造（珠海）有限公司
***
我想说，居然卡屏了希望没有下次，其他功能还好等我在用段时间再来评价

买家没有填写评价内容！

买家没有填写评价内容！

