https://product.suning.com/0000000000/11501725840.html
imgservice.suning.cn/uimg1/b2c/image/xZGP4R44VQr2Qrnr84_25Q.jpg_800w_800h_4e
惠普(HP) Spectre x360 13-aw0149TU 13.3英寸十代轻薄本笔记本电脑（i7-1065G7 16G 1TSSD 波塞冬蓝)
11499.00
0
1
0
0
0
0
品牌	惠普(hp)
系列	Spectrex36013
型号	Spectrex36013-aw0149TU
上市时间	2019
产品定位	家庭办公,轻薄便携
操作系统	Windows10
CPU平台	Intel
CPU型号	i7-1065G7
CPU主频	×&nbsp;&nbsp;&nbsp;&nbsp;CPU的主频，即CPU内核工作的时钟频率（CPUClockSpeed）。原则上同系列CPU主频越高的运算速度就越快，性能越好。1.3GHz
核心数	×&nbsp;&nbsp;&nbsp;&nbsp;核心数量是CPU系列术语，指单个CPU集成多个处理器内核，优点是在不太大增加功耗的同时下可有有效提升CPU性能。目前平板电脑CPU的核心数量主要有双核、四核、六核、八核等。四核心
内存容量	×&nbsp;&nbsp;&nbsp;&nbsp;内存容量通常是指随机存储器（RAM)的容量，是内存条的关键性参数，内存容量越大越有利于系统的运行。16GB
内存类型	×&nbsp;&nbsp;&nbsp;&nbsp;内存作用是用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据，内存的运行也决定了计算机的稳定运行。LPDDR4X
插槽数量	无
最大支持内存	16GB
硬盘容量	1TB
硬盘类型	固态硬盘
硬盘接口类型	PCIE+M2接口
显卡类型	×&nbsp;&nbsp;&nbsp;&nbsp;显存容量决定着显存临时存储数据的多少。集成显卡
显存容量	共享系统内存
显卡型号	IntelIrisPlusGraphics655
光驱类型	无光驱
屏幕尺寸	13.3英寸
屏幕类型	×&nbsp;&nbsp;&nbsp;&nbsp;电脑显示屏主要分为LED显示屏和液晶显示屏(LCD)两大类，其中液晶显示屏已经基本淘汰，现阶段电脑显示屏基本都属LED显示屏。IPS
屏幕比例	16:9
屏幕分辨率	1920×1080
触摸功能	×&nbsp;&nbsp;&nbsp;&nbsp;触摸功能指的是通过手指在屏幕上直接操作的功能。支持
摄像头	支持
声卡类型	集成式
内置麦克风	支持
扬声器连接	有
触控	触控
人脸识别	有
蓝牙功能	蓝牙5.0
局域网	无
无线局域网	802.11a
Thunderbolt雷电3	2个
USB3.1端口	1个个
USB3.0端口	0个
USB2.0端口	0个
视频端口	HDMI
音频端口	耳机/麦克风二合一接口
麦克风接口	1个
指取设备	触摸板
指纹识别	支持
读卡器类型	二合一读卡器
电池	锂离子电池
电源适配器	65w
续航时间	9小时以上
颜色	蓝色系
厚度	14.9毫米
机身材质	金属
机身尺寸	306.77x194.52x16.9毫米
净重	1.30千克
随机附件	适配器、保修卡、内胆包、多功能扩展器、4096级触控笔
厂商保修政策	3-3-3+1年意外损坏险
选购热点	彪悍性能,高清屏幕,变形本,金属机身,完美音质,超薄机身,高清摄像,超长待机
CCC认证编号	2018010902055596
生产者（制造商）名称	达丰（重庆）电脑有限公司
***
散热效果：不错<br/>轻薄程度：不错<br/>外观材质：不错<br/>显示效果：不错<br/>***Windows本没啥好说的买就完事

不错

不错

不错

不错

