https://product.suning.com/0070579161/11251704272.html
imgservice.suning.cn/uimg1/b2c/image/hOuBwwWUcx8szdZZUQXpCw.jpg_800w_800h_4e
三星（SAMSUNG）Galaxy S10 单卡 移动联通5G手机（移动5G不支持） 美版 黑色8GB+256G
5888.00
0
0
0
0
0
0
品牌	三星(SAMSUNG)
型号	GalaxyS10
上市时间	2019年
手机操作系统	Android
系统版本	Android9.0
摄像头类型	其他
前摄像头	1000万像素
后摄像头	1600万像素+1200万像素+1200万像素万像素
拍照特点	全景,微距,连拍,滤镜,场景模式,HDR,PDAF,自动对焦,防抖,美颜
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	6.7英寸
屏幕分辨率	3840×2160
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
屏占比	92%
颜色	黑色
机身长度	149.9毫米
机身宽度	70.4毫米
机身厚度	7.8毫米
重量	157克
CPU品牌	以官方信息为准
CPU型号	高通骁龙855
CPU频率	2.84GHz
GPU	以官网信息为准
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	标准卡,NanoSIM卡,NanoSIM卡（存储卡共槽位）,MicroSIM卡（存储卡共槽位）,MicroSIM（小卡）,ESIM
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G,移动2G/联通2G,联通2G
网络频率	以官网信息为准
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	8GB
无线充电	不支持
理论待机时间	1000小时
理论通话时间	1000分钟
NFC（近场通讯）	以官网信息为准
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	不支持
电子罗盘	不支持
3D加速	不支持
OTG	不支持
选购热点	指纹识别,大屏手机,骁龙芯片,Type-C
开票单位	台
***
