https://product.suning.com/0070579161/11251698000.html
imgservice.suning.cn/uimg1/b2c/image/QgKDOmHb2gZ8nqrNyHEFoQ.jpg_800w_800h_4e
三星（SAMSUNG）Galaxy S10 单卡 移动联通5G手机（移动5G不支持） 美版 银色8GB+256G
5888.00
0
0
0
0
0
0
品牌	三星(SAMSUNG)
型号	GalaxyS10
上市时间	2019年
手机操作系统	Android
系统版本	Android9.0
摄像头类型	其他
前摄像头	1000万像素万像素
后摄像头	1600万像素+1200万像素+1200万像素万像素
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	光学变焦
传感器类型	其他
屏幕尺寸	6.7英寸
屏幕分辨率	3840×2160
屏幕材质	其他
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
屏占比	90%
颜色	银色
机身长度	149.9毫米
机身宽度	70.4毫米
机身厚度	7.8毫米
重量	157克
机身材质	其它
CPU品牌	英特尔（Intel）
CPU型号	高通骁龙855
CPU频率	2.84GHz
CPU核数	以官网信息为准
GPU	以官网信息为准
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	标准卡,NanoSIM卡（存储卡共槽位）,NanoSIM卡,ESIM,MicroSIM（小卡）,MicroSIM卡（存储卡共槽位）
4G网络制式	联通4G,全网通,电信4G,移动4G
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	移动2G/联通2G,移动2G,联通2G,电信2G
网络频率	以官网信息为准
是否支持同时使用联通卡	以官网信息为准
机身内存	256GB
运行内存	8GB
无线充电	不支持
耳机接口	3.5mm
充电接口类型	MicroUSB
指纹识别	支持
选购热点	指纹识别,大屏手机
***
