https://product.suning.com/0070094634/11539559298.html
imgservice.suning.cn/uimg1/b2c/image/CfBzCKl19rzHlxVEs47Grw.png_800w_800h_4e
一加 OnePlus 7T Pro 12GB+256GB 迈凯伦限定版 90Hz流体屏 骁龙855Plus 4800万超广角三摄 移动联通电信全网通4G游戏手机 一加7tpro
5048.00
0
0
0
0
0
0
品牌	一加
型号	OnePlus7TPro
上市时间	2019年10月
手机操作系统	Android
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+1600+800万像素
拍照特点	自动对焦,防抖,美颜,连拍,全景,场景模式
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
屏幕尺寸	6.67英寸
屏幕分辨率	其他
屏幕材质	AMOLED
颜色	其他
机身长度	162.6毫米
机身宽度	75.9毫米
机身厚度	8.8毫米
重量	206克
CPU品牌	以官方信息为准
CPU型号	骁龙855plus
CPU频率	以官网信息为准
CPU核数	八核
GPU	以官网信息为准
5G网络制式	不支持
双卡机类型（单卡/双卡）	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	移动4G,联通4G,电信4G,全网通
3G网络制式	移动3G,电信3G,联通3G
2G网络制式	电信2G,移动2G/联通2G,移动2G
网络频率	以官网信息为准
待机模式	双卡双待
机身内存	256GB
运行内存	12GB
电池容量	4085mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	Type-C
充电接口类型	Type-C
蓝牙版本	以官网信息为准
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
电子罗盘	支持
运营商标识	无
选购热点	支持NFC,双卡双待,Type-C,拍照手机
CCC认证编号	2018011606062119
生产者（制造商）名称	深圳市万普拉斯科技有限公司东莞分公司
***
