https://product.suning.com/0070090936/11327061564.html
imgservice.suning.cn/uimg1/b2c/image/bvvfdbO95Uxo8JfZtLYI2A.jpg_800w_800h_4e
惠普（HP）战99-20 移动工作站 酷睿i7-9750H/16GB内存/2TB+512GB PCIe/Quadro-4G独显/4K屏 15.6英寸大屏专业图形设计轻薄本笔记本电脑
10838.00
0
5
0
0
0
0
品牌	惠普(hp)
系列	惠普（HP）战99系列
型号	惠普（HP）战99系列
产品定位	轻薄便携,性价比机,学生用机,影音娱乐,家庭办公
上市时间	2018年
操作系统	Windows10
核心数	六核心
CPU型号	i7-9750H
内存类型	DDR4
最大支持内存	32GB
插槽数量	2个
内存容量	16GB
硬盘容量	2TB+512GB
硬盘类型	混合硬盘
硬盘接口类型	SATA接口
显卡类型	独立显卡
显存容量	4GB
显卡型号	其他
光驱类型	无光驱
屏幕尺寸	15.6英寸
屏幕比例	16:9
屏幕分辨率	3840×2160
屏幕类型	LED
触摸功能	不支持
色域	100%sRGB
蓝牙功能	支持
局域网	10/100/1000Mbps
无线局域网	802.11ac
USB2.0端口	无
USB3.0端口	3个
音频端口	耳机/麦克风二合一接口
视频端口	HDMI,type-c接口
读卡器类型	多合一读卡器
RJ45网络接口	1个
内置摄像头	HD摄像头
内置扬声器	支持
内置麦克风	支持
声卡类型	集成式
指取设备	触摸板
指纹识别	支持
电池类型	4芯锂电池
电源适配器	其它
续航时间	5-7小时
机身尺寸	36.5x25.65x2.54厘米毫米
随机附件	笔记本适配器保修卡说明书
厂商保修政策	本产品全国联保，享受三包服务，质保期为：一年
CCC认证编号	2016010902847986
生产者（制造商）名称	达丰（重庆）电脑有限公司
***
非常不错的选择，性能很好，存储空间大，机器有科技感，4K屏，对于工作很有帮助

快递很快，两天就送浙江送到了。笔记本屏幕很棒，显示效果非常好，4k屏对一些软件来说，需要特殊处理。散热非常好，开虚拟机都没有什么问题，具体的使用了以后再来评价。

因为需要用虚拟机测试方案效果，所以选择了4K屏的这个配置，电脑没的说，客服服务也很好，不管是售前还是售后都可以打满分，而且赠品也非常多，基本不需要单独再去购买什么东西了，谢谢谢谢

用起来很流畅，散热不错，外观做的也很好，Quadro-4G独显非常不错，办公效果是没的说的，游戏效果没有测试过，这个显卡可以很好的满足做图和商务办公的使用，商家送了一个鼠标感觉很贴心。还有电脑包和各种膜，非常给力

老客户了，不用多说直接下单，信誉商家，值得推荐！以后需要还会过来的！

