https://item.jd.com/11266533812.html
img12.360buyimg.com/n1/jfs/t1/70761/14/5038/71601/5d33de2fE97107555/997043169efcdb14.jpg
索尼（SONY） ILCE-6000L/A6000 数码微单相机/照相机 银色A6000(16-50)套机 官方标配
3488.00
1
1
0
0
0
连拍速度	11张/秒
场景模式	肖像；风景；微距；日落
存储介质	SD卡；SDHC卡；SDXC卡
机身内存	无
品牌	索尼（SONY）
上市时间	2015
用途	拍照
机身重量（g）	285
画幅	APS-C
型号	ILCE-6000L
对焦系统	-
商品毛重（kg）	0.36
尺寸（mm）	约120.0 x 66.9x 45.1mm
类型	微单
商品产地	中国
液晶屏类型	其他
取景器类型	其他
液晶屏像素	约92万
液晶屏尺寸	3英寸
滤镜直径	无
电池类型	可充电锂离子电池
外接电源	其它
电池型号	FW-50
WiFi连接	支持
HDMI接口	支持
***
