https://product.suning.com/0070517287/11440618496.html
imgservice.suning.cn/uimg1/b2c/image/mtQePNGuI0Iwjz_EjHxbrA.jpg_800w_800h_4e
华为(HUAWEI) 华为畅享10 Plus 全网通 8GB+128GB 天空之境 4800万AI三摄 悬浮式镜头 移动联通电信4G手机
1648.00
1
7
0
0
0
0
品牌	华为(HUAWEI)
型号	畅享10Plus
上市时间	2019年9月
入网许可证号	02-5043-192230
手机操作系统	Android
系统版本	EMUI9.1(基于Android9)
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+800+200万像素
拍照特点	场景模式,滤镜,全景,连拍,微距,美颜,防抖,自动对焦
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
传感器类型	其他
屏幕尺寸	6.59英寸
屏幕分辨率	2340*1080
屏幕材质	LCD
屏幕像素密度（ppi）	以官网信息为准
触摸工艺	其他
颜色	天空之境
机身长度	163.5毫米
机身宽度	77.3毫米
机身厚度	8.8毫米
重量	196.8克
机身材质	其它
CPU品牌	以官方信息为准
CPU型号	HUAWEIKirin710F（麒麟710F）
CPU频率	4*CortexA732.2GHz+4*CortexA531.7GHz
CPU核数	八核
GPU	MaliG51
5G网络制式	不支持
双卡机类型	双卡双待
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	全网通,移动4G,电信4G,联通4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	移动2G/联通2G,电信2G
网络频率	以官网信息为准
待机模式	双卡双待
是否支持同时使用联通卡	以官网信息为准
机身内存	128GB
运行内存	8GB
存储卡类型	支持
最大存储扩展	512GB
电池容量	4000mAh
无线充电	不支持
电池更换	不支持
电池类型	其他
数据传输接口	WIFI,蓝牙
NFC（近场通讯）	不支持
耳机接口	以官网信息为准
充电接口类型	Type-C
蓝牙版本	蓝牙4.2
指纹识别	支持
重力传感器	支持
光线传感器	以官网信息为准
距离传感器	以官网信息为准
陀螺仪	支持
运营商标识	无
选购热点	双卡双待,游戏手机,Type-C,拍照手机,全面屏手机,女性手机,国产手机,大容量电池,大屏手机,指纹识别
开票单位	台
CCC认证编号	2019011606206014
生产者（制造商）名称	华为技术有限公司
***
用的这么多天 超级好用 拍照效果也好 电量也可以用一天的样子呢   厚度也还可以的 喜欢的可以下单哦

手机拍照相当不错！媳妇非常喜欢！

拍照效果不错，电池4000毫安

刚到手降价了70元，说什么好呢？算了还是给好评吧

此用户没有填写评价内容

此用户没有填写评价内容

买家没有填写评价内容！

