https://product.suning.com/0070209009/11442633708.html
imgservice.suning.cn/uimg1/b2c/image/uwKjHXQKyUbUH8UC4JtxMQ.jpg_800w_800h_4e
【稀缺现货】OPPO Reno Ace 8G+256G 高达定制版 65W超级闪充 90Hz电竞屏 高通骁龙855Plus 全网通4G 全面屏拍照游戏智能手机
3599.00
0
1
0
0
0
0
品牌	OPPO
型号	RenoAce高达定制版
手机操作系统	Android
系统版本	ColorOS6.1
摄像头类型	其他
前摄像头	1600万像素
后摄像头	4800+1300+800+200万像素
拍照特点	防抖,微距,自动对焦,美颜,连拍,全景,HDR
前摄光圈大小	f/2.0光圈
后摄光圈大小	f/1.8光圈
闪光灯类型	单颗LED闪光灯
变焦模式	数码变焦
传感器类型	CMOS
屏幕尺寸	6.5英寸
屏幕分辨率	2400*1080
屏幕材质	AMOLED
屏幕像素密度（ppi）	402
触摸工艺	On-cell
屏占比	91.7%
颜色	银灰
机身长度	161毫米
机身宽度	75.7毫米
机身厚度	8.7毫米
重量	200克
机身材质	玻璃
CPU品牌	骁龙（Snapdragon)
CPU型号	骁龙855Plus
CPU频率	2.96Ghz
CPU核数	八核
GPU	Adreno™640
5G网络制式	不支持
双卡机类型	双卡双待单通
最大支持SIM卡数量	2个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,移动4G,双卡双4G,全网通,电信4G
3G网络制式	电信3G,联通3G,移动3G
2G网络制式	移动2G/联通2G,移动2G,电信2G,联通2G
待机模式	双卡双待
副SIM卡尺寸	MicroSIM（小卡）
副SIM卡4G网络制式	移动4G,联通4G,电信4G
副SIM卡3G网络制式	移动3G,联通3G,电信3G
副SIM卡2G网络制式	电信2G,移动2G,移动2G/联通2G,联通2G
机身内存	256GB
运行内存	8GB
存储卡类型	不支持
最大存储扩展	不支持
电池容量	4000mAh
无线充电	不支持
快充功能	支持
电池更换	不支持
理论待机时间	350小时
电池类型	聚合物锂电池
数据传输接口	NFC,蓝牙,WIFI
NFC（近场通讯）	支持
耳机接口	3.5mm
充电接口类型	Type-C
蓝牙版本	蓝牙5.0
指纹识别	支持
GPS	支持
重力传感器	支持
距离传感器	支持
陀螺仪	支持
电子罗盘	支持
3D加速	支持
OTG	支持
选购热点	快速充电,大容量电池,指纹识别,游戏手机,拍照手机,骁龙芯片
CCC认证编号	2019011606163603
生产者（制造商）名称	OPPO广东移动通信有限公司
***
物流客服都不错

