https://product.suning.com/0070215654/11057646288.html
imgservice.suning.cn/uimg1/b2c/image/EB0rsoR3hpGlc3lzA5EheA.jpg_800w_800h_4e
Apple/ 苹果iPhone XS Max电信4G智能手机 深灰色512GB美版有锁未激活
6299.00
1
1
0
0
0
0
品牌	Apple
型号	iPhonexsmax
上市时间	2018年09月
入网许可证号	以官网信息为准
手机操作系统	IOS
系统版本	ios
摄像头类型	前单+后双
前摄像头	以官网信息为准万像素
后摄像头	1200万像素
拍照特点	HDR,连拍,防抖,自动对焦
前摄光圈大小	其他
后摄光圈大小	其他
闪光灯类型	支持
变焦模式	数码变焦
传感器类型	其他
屏幕尺寸	6.5英寸
屏幕分辨率	其他
屏幕材质	其他
触摸工艺	其他
屏占比	81.15%
颜色	黑色
机身长度	157.5毫米
机身宽度	77.4毫米
机身厚度	7.7毫米
重量	208克
机身材质	玻璃
CPU品牌	以官方信息为准
CPU型号	苹果A12+M12协处理器
CPU频率	以官网信息为准
CPU核数	以官网信息为准
GPU	以官方信息为准
双卡机类型	单卡
最大支持SIM卡数量	1个
SIM卡尺寸	NanoSIM卡
4G网络制式	联通4G,移动4G
3G网络制式	联通3G,移动3G
2G网络制式	联通2G,移动2G
网络频率	联通移动
待机模式	单卡单模
机身内存	512GB
运行内存	以官网信息为准
存储卡类型	不支持
最大存储扩展	不支持
电池容量	3174mAh
无线充电	支持
快充功能	支持
电池更换	不支持
理论待机时间	60小时
电池类型	锂电池
理论通话时间	180分钟
数据传输接口	NFC,WIFI,蓝牙
NFC（近场通讯）	支持
耳机接口	以官网信息为准
充电接口类型	Lightning（iPhone）
蓝牙版本	蓝牙5.0
指纹识别	不支持
GPS	支持
重力传感器	支持
光线传感器	支持
距离传感器	支持
陀螺仪	支持
红外遥控	支持
电子罗盘	支持
3D加速	不支持
OTG	支持
运营商标识	无
选购热点	后置双摄,全面屏手机,玻璃机身,大容量电池,快速充电,支持NFC,超薄机身,金属机身
***
买家没有填写评价内容！

